sample_id,description,serotype,genotype,country,year,host,genome_length,is_complete,location,lineage,data_source
KC762679.1,hDenV2/Indonesia/SN-MKSWS79a393/2010,DENV2,II,,2010,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_D.2,gisaid
KC762678.1,hDenV2/Indonesia/SN-MKSWS73392/2010,DENV2,II,,2010,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_E,gisaid
KC762657.1,hDenV2/Indonesia/SN-MKS371/2008,DENV2,II,,2008,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_E,gisaid
KC762659.1,hDenV2/Indonesia/SN-MKS-2210373/2008,DENV2,II,,2008,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_E,gisaid
KC762667.1,hDenV2/Indonesia/SN-MKS-2204381/2008,DENV2,II,,2008,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_E,gisaid
KC762672.1,hDenV2/Indonesia/SN-MKS-2198386/2008,DENV2,II,,2008,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_D.2,gisaid
KC762664.1,hDenV2/Indonesia/SN-MKS-2145378/2008,DENV2,II,,2008,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_E,gisaid
KC762668.1,hDenV2/Indonesia/SN-MKS-IF014382/2008,DENV2,II,,2008,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_F,gisaid
KC762673.1,hDenV2/Indonesia/SN-MKS-2018387/2008,DENV2,II,,2008,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_D.3,gisaid
KC762674.1,hDenV2/Indonesia/SN-MKS-2167388/2008,DENV2,II,,2008,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_D.3,gisaid
KC762675.1,hDenV2/Indonesia/SN-MKS-2032389/2008,DENV2,II,,2008,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_D.3,gisaid
KC762663.1,hDenV2/Indonesia/SN-MKS-2024377/2008,DENV2,II,,2008,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_E,gisaid
KC762671.1,hDenV2/Indonesia/SN-MKS-2108385/2008,DENV2,II,,2008,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_D.2,gisaid
KC762666.1,hDenV2/Indonesia/SN-MKS3007380/2008,DENV2,II,,2008,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_E,gisaid
KC762677.1,hDenV2/Indonesia/SN-MKS-IF011391/2008,DENV2,II,,2008,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_D.3,gisaid
KC762656.1,hDenV2/Indonesia/SN-MKS-0502370/2007,DENV2,II,,2007,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_E,gisaid
KC762670.1,hDenV2/Indonesia/SN-MKS-0091384/2007,DENV2,II,,2007,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_F,gisaid
KC762660.1,hDenV2/Indonesia/SN-MKS-0084374/2007,DENV2,II,,2007,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_E,gisaid
KC762662.1,hDenV2/Indonesia/SN-MKS-0297376/2007,DENV2,II,,2007,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_E,gisaid
KC762655.1,hDenV2/Indonesia/SN-MKS-0417369/2007,DENV2,II,,2007,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_E,gisaid
KC762661.1,hDenV2/Indonesia/SN-MKS-0412375/2007,DENV2,II,,2007,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_E,gisaid
KC762658.1,hDenV2/Indonesia/SN-MKS-0082372/2007,DENV2,II,,2007,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_E,gisaid
KC762669.1,hDenV2/Indonesia/SN-MKS-0071383/2007,DENV2,II,,2007,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_F,gisaid
KC762676.1,hDenV2/Indonesia/SN-MKS-0099390/2007,DENV2,II,,2007,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_D.3,gisaid
KC762665.1,hDenV2/Indonesia/SN-MKS-0068379/2007,DENV2,II,,2007,Human,,True,Asia / Indonesia / South Sulawesi / Makassar,2II_E,gisaid
KU517846.1,hDenV2/Indonesia/un-FITHC-IDCN701/2014,DENV2,II,,2014,Human,,True,Asia / Indonesia,2II_F.2.1,gisaid
MK411559.1,hDenV2/Indonesia/JA-EIFMB-JMB968/2016,DENV2,II,,2016,Human,,True,Asia / Indonesia / Jambi,2II_F.1.3,gisaid
MK411558.1,hDenV2/Indonesia/JA-EIFMB-JMB967/2016,DENV2,II,,2016,Human,,True,Asia / Indonesia / Jambi,2II_F.1.3,gisaid
PX480447.1,"Dengue virus type 4 isolate D20-0259, complete genome",DENV-4,,,7-28,Homo sapiens,10649.0,True,,,legacy
PX480446.1,"Dengue virus type 4 isolate D20-0040, complete genome",DENV-4,,,0-31,Homo sapiens,10649.0,True,,,legacy
PX480445.1,"Dengue virus type 4 isolate D19-2229, complete genome",DENV-4,,,8-29,Homo sapiens,10649.0,True,,,legacy
PX480444.1,"Dengue virus type 4 isolate D19-1649, complete genome",DENV-4,,,7-02,Homo sapiens,10649.0,True,,,legacy
PX480443.1,"Dengue virus type 4 isolate D19-1286, complete genome",DENV-4,,,5-17,Homo sapiens,10649.0,True,,,legacy
PX480442.1,"Dengue virus type 4 isolate D18-2040, complete genome",DENV-4,,,9-06,Homo sapiens,10649.0,True,,,legacy
PX480441.1,"Dengue virus type 4 isolate D18-0170, complete genome",DENV-4,,,1-22,Homo sapiens,10649.0,True,,,legacy
PX480440.1,"Dengue virus type 4 isolate D17-1913, complete genome",DENV-4,,,6-07,Homo sapiens,10649.0,True,,,legacy
PX480439.1,"Dengue virus type 4 isolate D17-1206, complete genome",DENV-4,,,5-07,Homo sapiens,10649.0,True,,,legacy
PX480438.1,"Dengue virus type 4 isolate D17-0712, complete genome",DENV-4,,,2-17,Homo sapiens,10649.0,True,,,legacy
PX480437.1,"Dengue virus type 4 isolate D17-0537, complete genome",DENV-4,,,2-06,Homo sapiens,10649.0,True,,,legacy
PX480436.1,"Dengue virus type 3 isolate D21-0005, complete genome",DENV-3,,,1-18,Homo sapiens,10707.0,True,,,legacy
PX480435.1,"Dengue virus type 3 isolate D20-0183, complete genome",DENV-3,,,3-01,Homo sapiens,10707.0,True,,,legacy
PX480434.1,"Dengue virus type 3 isolate D20-0128, complete genome",DENV-3,,,1-22,Homo sapiens,10707.0,True,,,legacy
PX480433.1,"Dengue virus type 3 isolate D20-0127, complete genome",DENV-3,,,1-18,Homo sapiens,10707.0,True,,,legacy
PX480432.1,"Dengue virus type 3 isolate D19-2479, complete genome",DENV-3,,,0-23,Homo sapiens,10707.0,True,,,legacy
PX480431.1,"Dengue virus type 3 isolate D19-2240, complete genome",DENV-3,,,9-08,Homo sapiens,10707.0,True,,,legacy
PX480430.1,"Dengue virus type 3 isolate D19-2221, complete genome",DENV-3,,,9-11,Homo sapiens,10707.0,True,,,legacy
PX480429.1,"Dengue virus type 3 isolate D19-2204, complete genome",DENV-3,,,8-22,Homo sapiens,10707.0,True,,,legacy
PX480428.1,"Dengue virus type 3 isolate D19-2179, complete genome",DENV-3,,,8-10,Homo sapiens,10707.0,True,,,legacy
PX480427.1,"Dengue virus type 3 isolate D19-2149, complete genome",DENV-3,,,9-01,Homo sapiens,10707.0,True,,,legacy
PX480426.1,"Dengue virus type 3 isolate D19-2136, complete genome",DENV-3,,,9-02,Homo sapiens,10707.0,True,,,legacy
PX480425.1,"Dengue virus type 3 isolate D19-2134, complete genome",DENV-3,,,9-04,Homo sapiens,10707.0,True,,,legacy
PX480424.1,"Dengue virus type 3 isolate D19-2115, complete genome",DENV-3,,,8-06,Homo sapiens,10707.0,True,,,legacy
PX480423.1,"Dengue virus type 3 isolate D19-2082, complete genome",DENV-3,,,8-20,Homo sapiens,10707.0,True,,,legacy
PX480422.1,"Dengue virus type 3 isolate D19-2055, complete genome",DENV-3,,,8-18,Homo sapiens,10707.0,True,,,legacy
PX480421.1,"Dengue virus type 3 isolate D19-2053, complete genome",DENV-3,,,8-14,Homo sapiens,10707.0,True,,,legacy
PX480420.1,"Dengue virus type 3 isolate D19-2042, complete genome",DENV-3,,,8-17,Homo sapiens,10707.0,True,,,legacy
PX480419.1,"Dengue virus type 3 isolate D19-2037, complete genome",DENV-3,,,8-05,Homo sapiens,10707.0,True,,,legacy
PX480418.1,"Dengue virus type 3 isolate D19-2035, complete genome",DENV-3,,,8-01,Homo sapiens,10707.0,True,,,legacy
PX480417.1,"Dengue virus type 3 isolate D19-1990, complete genome",DENV-3,,,8-04,Homo sapiens,10707.0,True,,,legacy
PX480416.1,"Dengue virus type 3 isolate D19-1983, complete genome",DENV-3,,,8-04,Homo sapiens,10707.0,True,,,legacy
PX480415.1,"Dengue virus type 3 isolate D19-1974, complete genome",DENV-3,,,7-30,Homo sapiens,10707.0,True,,,legacy
PX480414.1,"Dengue virus type 3 isolate D19-1964, complete genome",DENV-3,,,7-29,Homo sapiens,10707.0,True,,,legacy
PX480413.1,"Dengue virus type 3 isolate D19-1963, complete genome",DENV-3,,,7-28,Homo sapiens,10707.0,True,,,legacy
PX480412.1,"Dengue virus type 3 isolate D19-1951, complete genome",DENV-3,,,7-11,Homo sapiens,10707.0,True,,,legacy
PX480411.1,"Dengue virus type 3 isolate D19-1950, complete genome",DENV-3,,,7-09,Homo sapiens,10707.0,True,,,legacy
PX480410.1,"Dengue virus type 3 isolate D19-1898, complete genome",DENV-3,,,7-14,Homo sapiens,10707.0,True,,,legacy
PX480409.1,"Dengue virus type 3 isolate D19-1897, complete genome",DENV-3,,,7-08,Homo sapiens,10707.0,True,,,legacy
PX480408.1,"Dengue virus type 3 isolate D19-1896, complete genome",DENV-3,,,7-08,Homo sapiens,10707.0,True,,,legacy
PX480407.1,"Dengue virus type 3 isolate D19-1871, complete genome",DENV-3,,,7-10,Homo sapiens,10707.0,True,,,legacy
PX480406.1,"Dengue virus type 3 isolate D19-1861, complete genome",DENV-3,,,7-03,Homo sapiens,10707.0,True,,,legacy
PX480405.1,"Dengue virus type 3 isolate D19-1831, complete genome",DENV-3,,,7-02,Homo sapiens,10707.0,True,,,legacy
PX480404.1,"Dengue virus type 3 isolate D19-1530, complete genome",DENV-3,,,6-18,Homo sapiens,10707.0,True,,,legacy
PX480403.1,"Dengue virus type 3 isolate D19-1287, complete genome",DENV-3,,,5-24,Homo sapiens,10707.0,True,,,legacy
PX480402.1,"Dengue virus type 3 isolate D19-1103, complete genome",DENV-3,,,4-17,Homo sapiens,10707.0,True,,,legacy
PX480401.1,"Dengue virus type 3 isolate D19-1094, complete genome",DENV-3,,,4-26,Homo sapiens,10707.0,True,,,legacy
PX480400.1,"Dengue virus type 3 isolate D19-0559, complete genome",DENV-3,,,1-29,Homo sapiens,10707.0,True,,,legacy
PX480399.1,"Dengue virus type 3 isolate D19-0558, complete genome",DENV-3,,,1-29,Homo sapiens,10707.0,True,,,legacy
PX480398.1,"Dengue virus type 3 isolate D19-0447, complete genome",DENV-3,,,1-29,Homo sapiens,10707.0,True,,,legacy
PX480397.1,"Dengue virus type 3 isolate D19-0337, complete genome",DENV-3,,,1-16,Homo sapiens,10707.0,True,,,legacy
PX480396.1,"Dengue virus type 3 isolate D19-0332, complete genome",DENV-3,,,2-18,Homo sapiens,10707.0,True,,,legacy
PX480395.1,"Dengue virus type 3 isolate D19-0142, complete genome",DENV-3,,,1-04,Homo sapiens,10707.0,True,,,legacy
PX480394.1,"Dengue virus type 3 isolate D19-0141, complete genome",DENV-3,,,1-04,Homo sapiens,10707.0,True,,,legacy
PX480393.1,"Dengue virus type 3 isolate D19-0140, complete genome",DENV-3,,,1-03,Homo sapiens,10707.0,True,,,legacy
PX480392.1,"Dengue virus type 3 isolate D19-0113, complete genome",DENV-3,,,1-08,Homo sapiens,10707.0,True,,,legacy
PX480391.1,"Dengue virus type 3 isolate D19-0021, complete genome",DENV-3,,,2-18,Homo sapiens,10707.0,True,,,legacy
PX480390.1,"Dengue virus type 3 isolate D18-3368, complete genome",DENV-3,,,1-22,Homo sapiens,10707.0,True,,,legacy
PX480389.1,"Dengue virus type 3 isolate D18-3322, complete genome",DENV-3,,,2-14,Homo sapiens,10707.0,True,,,legacy
PX480388.1,"Dengue virus type 3 isolate D18-3282, complete genome",DENV-3,,,1-21,Homo sapiens,10707.0,True,,,legacy
PX480387.1,"Dengue virus type 3 isolate D18-3077, complete genome",DENV-3,,,1-15,Homo sapiens,10707.0,True,,,legacy
PX480386.1,"Dengue virus type 3 isolate D18-3076, complete genome",DENV-3,,,1-11,Homo sapiens,10707.0,True,,,legacy
PX480385.1,"Dengue virus type 3 isolate D18-2954, complete genome",DENV-3,,,1-08,Homo sapiens,10707.0,True,,,legacy
PX480384.1,"Dengue virus type 3 isolate D18-2897, complete genome",DENV-3,,,1-05,Homo sapiens,10707.0,True,,,legacy
PX480383.1,"Dengue virus type 3 isolate D18-2883, complete genome",DENV-3,,,0-22,Homo sapiens,10707.0,True,,,legacy
PX480382.1,"Dengue virus type 3 isolate D18-2841, complete genome",DENV-3,,,0-21,Homo sapiens,10707.0,True,,,legacy
PX480381.1,"Dengue virus type 3 isolate D18-2787, complete genome",DENV-3,,,0-15,Homo sapiens,10707.0,True,,,legacy
PX480380.1,"Dengue virus type 3 isolate D18-2582, complete genome",DENV-3,,,9-22,Homo sapiens,10707.0,True,,,legacy
PX480379.1,"Dengue virus type 3 isolate D18-2531, complete genome",DENV-3,,,9-17,Homo sapiens,10707.0,True,,,legacy
PX480378.1,"Dengue virus type 3 isolate D18-2384, complete genome",DENV-3,,,9-10,Homo sapiens,10707.0,True,,,legacy
PX480377.1,"Dengue virus type 3 isolate D18-2300, complete genome",DENV-3,,,9-18,Homo sapiens,10707.0,True,,,legacy
PX480376.1,"Dengue virus type 3 isolate D18-2291, complete genome",DENV-3,,,9-18,Homo sapiens,10707.0,True,,,legacy
PX480375.1,"Dengue virus type 3 isolate D18-2287, complete genome",DENV-3,,,9-16,Homo sapiens,10707.0,True,,,legacy
PX480374.1,"Dengue virus type 3 isolate D18-2001, complete genome",DENV-3,,,8-28,Homo sapiens,10707.0,True,,,legacy
PX480373.1,"Dengue virus type 3 isolate D18-1999, complete genome",DENV-3,,,8-28,Homo sapiens,10707.0,True,,,legacy
PX480372.1,"Dengue virus type 3 isolate D18-1993, complete genome",DENV-3,,,8-28,Homo sapiens,10707.0,True,,,legacy
PX480371.1,"Dengue virus type 3 isolate D18-1991, complete genome",DENV-3,,,8-28,Homo sapiens,10707.0,True,,,legacy
PX480370.1,"Dengue virus type 3 isolate D18-1986, complete genome",DENV-3,,,9-01,Homo sapiens,10707.0,True,,,legacy
PX480369.1,"Dengue virus type 3 isolate D18-1932, complete genome",DENV-3,,,7-08,Homo sapiens,10707.0,True,,,legacy
PX480368.1,"Dengue virus type 3 isolate D18-1697, complete genome",DENV-3,,,8-19,Homo sapiens,10707.0,True,,,legacy
PX480367.1,"Dengue virus type 3 isolate D18-1684, complete genome",DENV-3,,,8-22,Homo sapiens,10707.0,True,,,legacy
PX480366.1,"Dengue virus type 3 isolate D18-1658, complete genome",DENV-3,,,6-25,Homo sapiens,10707.0,True,,,legacy
PX480365.1,"Dengue virus type 3 isolate D18-1380, complete genome",DENV-3,,,8-08,Homo sapiens,10707.0,True,,,legacy
PX480364.1,"Dengue virus type 3 isolate D18-1361, complete genome",DENV-3,,,8-04,Homo sapiens,10707.0,True,,,legacy
PX480363.1,"Dengue virus type 3 isolate D18-1342, complete genome",DENV-3,,,7-12,Homo sapiens,10707.0,True,,,legacy
PX480362.1,"Dengue virus type 3 isolate D18-1315, complete genome",DENV-3,,,7-30,Homo sapiens,10707.0,True,,,legacy
PX480361.1,"Dengue virus type 3 isolate D18-1202, complete genome",DENV-3,,,7-19,Homo sapiens,10707.0,True,,,legacy
PX480360.1,"Dengue virus type 3 isolate D18-0989, complete genome",DENV-3,,,6-17,Homo sapiens,10707.0,True,,,legacy
PX480359.1,"Dengue virus type 3 isolate D18-0978, complete genome",DENV-3,,,6-22,Homo sapiens,10707.0,True,,,legacy
PX480358.1,"Dengue virus type 3 isolate D18-0822, complete genome",DENV-3,,,6-08,Homo sapiens,10707.0,True,,,legacy
PX480357.1,"Dengue virus type 3 isolate D18-0775, complete genome",DENV-3,,,5-14,Homo sapiens,10707.0,True,,,legacy
PX480356.1,"Dengue virus type 3 isolate D18-0515, complete genome",DENV-3,,,5-22,Homo sapiens,10707.0,True,,,legacy
PX480355.1,"Dengue virus type 3 isolate D18-0457, complete genome",DENV-3,,,4-24,Homo sapiens,10707.0,True,,,legacy
PX480354.1,"Dengue virus type 3 isolate D18-0403, complete genome",DENV-3,,,4-01,Homo sapiens,10707.0,True,,,legacy
PX480353.1,"Dengue virus type 3 isolate D18-0361, complete genome",DENV-3,,,3-15,Homo sapiens,10707.0,True,,,legacy
PX480352.1,"Dengue virus type 3 isolate D18-0200, complete genome",DENV-3,,,1-22,Homo sapiens,10707.0,True,,,legacy
PX480351.1,"Dengue virus type 3 isolate D18-0169, complete genome",DENV-3,,,1-16,Homo sapiens,10707.0,True,,,legacy
PX480350.1,"Dengue virus type 3 isolate D18-0064, complete genome",DENV-3,,,1-02,Homo sapiens,10707.0,True,,,legacy
PX480349.1,"Dengue virus type 3 isolate D18-0052, complete genome",DENV-3,,,1-02,Homo sapiens,10707.0,True,,,legacy
PX480348.1,"Dengue virus type 3 isolate D18-0030, complete genome",DENV-3,,,2-28,Homo sapiens,10707.0,True,,,legacy
PX480347.1,"Dengue virus type 3 isolate D17-3024, complete genome",DENV-3,,,0-02,Homo sapiens,10707.0,True,,,legacy
PX480346.1,"Dengue virus type 3 isolate D17-2265, complete genome",DENV-3,,,8-18,Homo sapiens,10707.0,True,,,legacy
PX480345.1,"Dengue virus type 3 isolate D17-2232, complete genome",DENV-3,,,8-17,Homo sapiens,10707.0,True,,,legacy
PX480344.1,"Dengue virus type 3 isolate D17-1911, complete genome",DENV-3,,,6-23,Homo sapiens,10707.0,True,,,legacy
PX480343.1,"Dengue virus type 3 isolate D17-1829, complete genome",DENV-3,,,7-26,Homo sapiens,10707.0,True,,,legacy
PX480342.1,"Dengue virus type 3 isolate D17-1799, complete genome",DENV-3,,,7-28,Homo sapiens,10707.0,True,,,legacy
PX480341.1,"Dengue virus type 3 isolate D17-1790, complete genome",DENV-3,,,7-24,Homo sapiens,10707.0,True,,,legacy
PX480340.1,"Dengue virus type 3 isolate D17-1642, complete genome",DENV-3,,,7-19,Homo sapiens,10707.0,True,,,legacy
PX480339.1,"Dengue virus type 3 isolate D17-1464, complete genome",DENV-3,,,7-01,Homo sapiens,10707.0,True,,,legacy
PX480338.1,"Dengue virus type 3 isolate D17-1165, complete genome",DENV-3,,,5-13,Homo sapiens,10707.0,True,,,legacy
PX480337.1,"Dengue virus type 3 isolate D17-0764, complete genome",DENV-3,,,3-01,Homo sapiens,10707.0,True,,,legacy
PX480336.1,"Dengue virus type 3 isolate D17-0554, complete genome",DENV-3,,,2-08,Homo sapiens,10707.0,True,,,legacy
PX480335.1,"Dengue virus type 3 isolate D17-0445, complete genome",DENV-3,,,1-28,Homo sapiens,10707.0,True,,,legacy
PX480334.1,"Dengue virus type 3 isolate D17-0442, complete genome",DENV-3,,,1-23,Homo sapiens,10707.0,True,,,legacy
PX480333.1,"Dengue virus type 3 isolate D17-0131, complete genome",DENV-3,,,1-03,Homo sapiens,10707.0,True,,,legacy
PX480332.1,"Dengue virus type 3 isolate D17-0125, complete genome",DENV-3,,,1-12,Homo sapiens,10707.0,True,,,legacy
PX480331.1,"Dengue virus type 2 isolate D21-0290, complete genome",DENV-2,,,7-17,Homo sapiens,10723.0,True,,,legacy
PX480330.1,"Dengue virus type 2 isolate D19-2681, complete genome",DENV-2,,,2-01,Homo sapiens,10723.0,True,,,legacy
PX480329.1,"Dengue virus type 2 isolate D19-2668, complete genome",DENV-2,,,1-22,Homo sapiens,10723.0,True,,,legacy
PX480328.1,"Dengue virus type 2 isolate D19-2620, complete genome",DENV-2,,,1-17,Homo sapiens,10723.0,True,,,legacy
PX480327.1,"Dengue virus type 2 isolate D19-2610, complete genome",DENV-2,,,1-18,Homo sapiens,10723.0,True,,,legacy
PX480326.1,"Dengue virus type 2 isolate D19-2563, complete genome",DENV-2,,,0-17,Homo sapiens,10723.0,True,,,legacy
PX480325.1,"Dengue virus type 2 isolate D19-2535, complete genome",DENV-2,,,1-03,Homo sapiens,10723.0,True,,,legacy
PX480324.1,"Dengue virus type 2 isolate D19-2446, complete genome",DENV-2,,,0-06,Homo sapiens,10723.0,True,,,legacy
PX480323.1,"Dengue virus type 2 isolate D19-2445, complete genome",DENV-2,,,0-02,Homo sapiens,10723.0,True,,,legacy
PX480322.1,"Dengue virus type 2 isolate D19-2324, complete genome",DENV-2,,,9-22,Homo sapiens,10723.0,True,,,legacy
PX480321.1,"Dengue virus type 2 isolate D19-2249, complete genome",DENV-2,,,8-28,Homo sapiens,10723.0,True,,,legacy
PX480320.1,"Dengue virus type 2 isolate D19-2061, complete genome",DENV-2,,,8-15,Homo sapiens,10723.0,True,,,legacy
PX480319.1,"Dengue virus type 2 isolate D19-2044, complete genome",DENV-2,,,8-18,Homo sapiens,10723.0,True,,,legacy
PX480318.1,"Dengue virus type 2 isolate D19-1820, complete genome",DENV-2,,,7-04,Homo sapiens,10723.0,True,,,legacy
PX480317.1,"Dengue virus type 2 isolate D19-1678, complete genome",DENV-2,,,7-05,Homo sapiens,10723.0,True,,,legacy
PX480316.1,"Dengue virus type 2 isolate D19-1576, complete genome",DENV-2,,,6-22,Homo sapiens,10723.0,True,,,legacy
PX480315.1,"Dengue virus type 2 isolate D19-1559, complete genome",DENV-2,,,7-03,Homo sapiens,10723.0,True,,,legacy
PX480314.1,"Dengue virus type 2 isolate D19-1472, complete genome",DENV-2,,,6-07,Homo sapiens,10723.0,True,,,legacy
PX480313.1,"Dengue virus type 2 isolate D19-1325, complete genome",DENV-2,,,5-30,Homo sapiens,10723.0,True,,,legacy
PX480312.1,"Dengue virus type 2 isolate D18-3349, complete genome",DENV-2,,,2-05,Homo sapiens,10723.0,True,,,legacy
PX480311.1,"Dengue virus type 2 isolate D18-3201, complete genome",DENV-2,,,1-22,Homo sapiens,10723.0,True,,,legacy
PX480310.1,"Dengue virus type 2 isolate D18-2646, complete genome",DENV-2,,,9-29,Homo sapiens,10723.0,True,,,legacy
PX480309.1,"Dengue virus type 2 isolate D18-2292, complete genome",DENV-2,,,9-18,Homo sapiens,10723.0,True,,,legacy
PX480308.1,"Dengue virus type 2 isolate D18-1974, complete genome",DENV-2,,,8-27,Homo sapiens,10723.0,True,,,legacy
PX480307.1,"Dengue virus type 2 isolate D18-1693, complete genome",DENV-2,,,8-19,Homo sapiens,10723.0,True,,,legacy
PX480306.1,"Dengue virus type 2 isolate D18-1676, complete genome",DENV-2,,,8-21,Homo sapiens,10723.0,True,,,legacy
PX480305.1,"Dengue virus type 2 isolate D18-1556, complete genome",DENV-2,,,8-13,Homo sapiens,10723.0,True,,,legacy
PX480304.1,"Dengue virus type 2 isolate D18-1377, complete genome",DENV-2,,,8-08,Homo sapiens,10723.0,True,,,legacy
