sample_id,kmer_AAT,kmer_CCT,kmer_TCC,kmer_CAT,kmer_GGC,kmer_ACT,kmer_GCG,kmer_ATG,kmer_GTT,kmer_CTT,kmer_GCA,kmer_GGA,gc_content,kmer_CAG,kmer_GAA,kmer_GAT,kmer_GGG,kmer_CGA,kmer_ATA,kmer_TAC,kmer_TGT,kmer_GTC,kmer_ATC,kmer_CGT,kmer_GTA,kmer_CTG,kmer_ACG,kmer_GGT,kmer_GCT,kmer_TAT,kmer_AGA,kmer_AAA,kmer_CGG,kmer_AGC,kmer_TGA,kmer_CTC,kmer_CCA,kmer_GAG,kmer_CCG,kmer_TAG,total_mutations,kmer_ACC,kmer_GTG,kmer_AGG,kmer_GCC,kmer_GAC,kmer_TTC,kmer_AGT,kmer_TAA,kmer_TTA,kmer_TGG,kmer_TCA,kmer_CAC,kmer_TTT,kmer_CGC,length_diff,kmer_AAG,kmer_TCT,mutation_density,kmer_AAC,kmer_ATT,kmer_CCC,kmer_TGC,kmer_TCG,genome_length,kmer_CAA,kmer_TTG,kmer_CTA,kmer_ACA
MW577849.1,0.020889487,0.008760108,0.008760108,0.021563342,0.01212938,0.01212938,0.0020215632,0.025606468,0.014824797,0.0067385444,0.015498652,0.03638814,0.45087484,0.022911051,0.03504043,0.01819407,0.017520215,0.0026954177,0.014150944,0.010781671,0.015498652,0.010781671,0.017520215,0.008760108,0.010107817,0.018867925,0.008760108,0.010107817,0.014824797,0.008760108,0.029649595,0.04245283,0.0074123987,0.014150944,0.018867925,0.011455526,0.01684636,0.01954178,0.0026954177,0.014824797,12.0,0.010107817,0.014150944,0.02425876,0.009433962,0.014824797,0.008760108,0.015498652,0.008760108,0.009433962,0.026280323,0.020889487,0.021563342,0.014824797,0.0026954177,0.0,0.026280323,0.010781671,0.008075370121130552,0.022911051,0.01212938,0.0074123987,0.012803234,0.008086253,,0.026280323,0.014824797,0.009433962,0.03908356
MW512378.1,0.023584906,0.009433962,0.009433962,0.021563342,0.01212938,0.011455526,0.0026954177,0.028301887,0.01684636,0.009433962,0.015498652,0.03908356,0.4461642,0.024932615,0.03908356,0.014824797,0.016172506,0.0040431265,0.012803234,0.0067385444,0.021563342,0.011455526,0.014824797,0.0040431265,0.0074123987,0.014824797,0.0040431265,0.010781671,0.01212938,0.010107817,0.026954178,0.041778974,0.004716981,0.013477089,0.01684636,0.010107817,0.016172506,0.017520215,0.0033692722,0.014824797,11.0,0.010107817,0.014824797,0.028301887,0.009433962,0.015498652,0.010781671,0.014150944,0.0053908355,0.008760108,0.028301887,0.022911051,0.022237197,0.015498652,0.0026954177,0.0,0.025606468,0.009433962,0.007402422611036339,0.023584906,0.014150944,0.0067385444,0.011455526,0.0053908355,,0.028301887,0.020889487,0.008086253,0.04245283
MW512386.1,0.01956815,0.010121457,0.00877193,0.01956815,0.012145749,0.010121457,0.0026990552,0.026990553,0.016869096,0.012145749,0.016869096,0.03846154,0.45289367,0.024966262,0.037786774,0.01417004,0.018218623,0.004048583,0.010796221,0.0060728746,0.016194332,0.012145749,0.012820513,0.0067476383,0.00877193,0.013495277,0.0053981105,0.012145749,0.012820513,0.011470986,0.027665317,0.03846154,0.004723347,0.012820513,0.016194332,0.00877193,0.016194332,0.01754386,0.0033738192,0.012820513,14.0,0.010796221,0.013495277,0.02834008,0.010121457,0.016194332,0.010796221,0.016194332,0.008097166,0.010796221,0.029689608,0.018893387,0.022941971,0.012820513,0.0033738192,0.0,0.029689608,0.009446694,0.009421265141318977,0.024291499,0.01417004,0.0067476383,0.01417004,0.007422402,,0.027665317,0.021592442,0.008097166,0.043184884
MW512429.1,0.023584906,0.008760108,0.009433962,0.021563342,0.010781671,0.010781671,0.0026954177,0.028301887,0.01684636,0.009433962,0.016172506,0.04043127,0.4475101,0.025606468,0.03908356,0.013477089,0.014824797,0.0040431265,0.01212938,0.00606469,0.01954178,0.011455526,0.014824797,0.004716981,0.0067385444,0.013477089,0.0040431265,0.010781671,0.013477089,0.009433962,0.026280323,0.04380054,0.0053908355,0.014824797,0.017520215,0.011455526,0.015498652,0.018867925,0.0040431265,0.012803234,11.0,0.010107817,0.014824797,0.027628032,0.008760108,0.016172506,0.009433962,0.014824797,0.0067385444,0.008086253,0.028975742,0.022237197,0.022911051,0.014824797,0.0026954177,0.0,0.026280323,0.009433962,0.007402422611036339,0.023584906,0.012803234,0.0067385444,0.012803234,0.00606469,,0.027628032,0.021563342,0.008086253,0.04380054
OP410996.1,0.026506023,0.012048192,0.004819277,0.01686747,0.012851406,0.0136546185,0.004016064,0.019277109,0.009638554,0.015261044,0.019277109,0.034538154,0.39165545,0.02008032,0.034538154,0.009638554,0.023293173,0.006425703,0.012048192,0.009638554,0.012851406,0.008835342,0.012048192,0.006425703,0.006425703,0.012851406,0.008835342,0.016064256,0.01124498,0.00562249,0.024899598,0.034538154,0.004016064,0.016064256,0.018473895,0.008032128,0.018473895,0.021686748,0.004016064,0.008032128,14.0,0.021686748,0.021686748,0.024096385,0.008032128,0.018473895,0.010441767,0.01124498,0.012851406,0.0072289156,0.035341367,0.020883534,0.024899598,0.02008032,0.004819277,0.0,0.026506023,0.008835342,0.009421265141318977,0.023293173,0.015261044,0.012851406,0.009638554,0.004819277,,0.028915662,0.02248996,0.009638554,0.032128513
MW721459.1,0.020903574,0.009440323,0.008766015,0.019554956,0.01146325,0.009440323,0.0026972354,0.026972353,0.015509103,0.010788942,0.016183412,0.03910991,0.45423958,0.024949428,0.037086986,0.014834794,0.01820634,0.005394471,0.010788942,0.0060687796,0.016183412,0.0128118675,0.0128118675,0.007417397,0.008766015,0.0128118675,0.0060687796,0.012137559,0.0128118675,0.010788942,0.025623735,0.043155767,0.0060687796,0.013486177,0.016183412,0.010114633,0.016183412,0.01753203,0.0047201617,0.01146325,12.0,0.01146325,0.014160486,0.026972353,0.010114633,0.016183412,0.010788942,0.015509103,0.008766015,0.010114633,0.029669588,0.019554956,0.02360081,0.012137559,0.0033715442,0.0,0.027646663,0.009440323,0.008075370121130552,0.02360081,0.015509103,0.0067430884,0.013486177,0.008766015,,0.026298044,0.020903574,0.007417397,0.042481456
MW512480.1,0.023584906,0.008760108,0.008760108,0.020889487,0.011455526,0.011455526,0.0026954177,0.028301887,0.013477089,0.008760108,0.01819407,0.03638814,0.44414535,0.026954178,0.03773585,0.015498652,0.01684636,0.004716981,0.01212938,0.010107817,0.016172506,0.011455526,0.012803234,0.00606469,0.008086253,0.012803234,0.0053908355,0.010107817,0.010107817,0.011455526,0.028301887,0.043126684,0.0053908355,0.014150944,0.015498652,0.010107817,0.017520215,0.016172506,0.0040431265,0.01212938,11.0,0.010781671,0.013477089,0.024932615,0.010781671,0.015498652,0.008760108,0.014150944,0.0074123987,0.013477089,0.027628032,0.01954178,0.02425876,0.016172506,0.0026954177,0.0,0.026280323,0.008760108,0.007402422611036339,0.022911051,0.01819407,0.008086253,0.013477089,0.00606469,,0.028301887,0.01819407,0.0074123987,0.04514825
MW512402.1,0.022911051,0.0074123987,0.009433962,0.020215634,0.01212938,0.01212938,0.0026954177,0.028301887,0.013477089,0.008086253,0.01819407,0.03773585,0.44818303,0.027628032,0.037061993,0.014824797,0.016172506,0.0040431265,0.011455526,0.00606469,0.01819407,0.010107817,0.015498652,0.0040431265,0.0074123987,0.013477089,0.0040431265,0.008760108,0.013477089,0.012803234,0.029649595,0.04043127,0.00606469,0.014150944,0.014824797,0.011455526,0.01684636,0.01819407,0.0040431265,0.011455526,12.0,0.010107817,0.014824797,0.024932615,0.008760108,0.016172506,0.009433962,0.014824797,0.0074123987,0.010107817,0.027628032,0.021563342,0.025606468,0.015498652,0.0033692722,0.0,0.026280323,0.008760108,0.008075370121130552,0.02425876,0.015498652,0.008086253,0.013477089,0.0067385444,,0.029649595,0.017520215,0.008760108,0.045822103
MW512431.1,0.01954178,0.010107817,0.009433962,0.022237197,0.013477089,0.014150944,0.0040431265,0.026954178,0.015498652,0.008760108,0.016172506,0.038409702,0.4461642,0.024932615,0.038409702,0.014824797,0.014150944,0.004716981,0.013477089,0.010781671,0.017520215,0.01212938,0.013477089,0.00606469,0.0074123987,0.015498652,0.0053908355,0.009433962,0.011455526,0.011455526,0.025606468,0.041778974,0.0067385444,0.011455526,0.016172506,0.01212938,0.014150944,0.01684636,0.0040431265,0.013477089,13.0,0.010107817,0.015498652,0.026954178,0.008760108,0.014824797,0.010107817,0.017520215,0.008086253,0.01212938,0.027628032,0.020889487,0.021563342,0.01212938,0.0026954177,0.0,0.026280323,0.011455526,0.008748317631224764,0.026280323,0.014150944,0.004716981,0.012803234,0.00606469,,0.026280323,0.016172506,0.010781671,0.04380054
MW512467.1,0.01954178,0.008760108,0.010107817,0.022911051,0.012803234,0.015498652,0.0040431265,0.027628032,0.014824797,0.010107817,0.01819407,0.03638814,0.44683716,0.026280323,0.03908356,0.016172506,0.01684636,0.0053908355,0.015498652,0.010107817,0.016172506,0.012803234,0.014150944,0.0053908355,0.008086253,0.015498652,0.004716981,0.010781671,0.010781671,0.011455526,0.027628032,0.03908356,0.00606469,0.011455526,0.015498652,0.01212938,0.015498652,0.016172506,0.0040431265,0.013477089,17.0,0.009433962,0.014150944,0.026954178,0.008760108,0.013477089,0.008760108,0.017520215,0.009433962,0.012803234,0.026954178,0.020889487,0.020215634,0.012803234,0.0026954177,0.0,0.027628032,0.010781671,0.011440107671601614,0.026280323,0.012803234,0.0053908355,0.014824797,0.00606469,,0.025606468,0.016172506,0.008086253,0.04043127
MW512481.1,0.022237197,0.0074123987,0.009433962,0.020215634,0.012803234,0.014824797,0.0026954177,0.028301887,0.012803234,0.010107817,0.01819407,0.038409702,0.44818303,0.02425876,0.03638814,0.016172506,0.015498652,0.0053908355,0.012803234,0.008086253,0.01819407,0.011455526,0.013477089,0.0053908355,0.008086253,0.014824797,0.004716981,0.008086253,0.013477089,0.010781671,0.028975742,0.041778974,0.00606469,0.013477089,0.014150944,0.010107817,0.014824797,0.018867925,0.004716981,0.014150944,12.0,0.009433962,0.014150944,0.025606468,0.008086253,0.015498652,0.01212938,0.014824797,0.0074123987,0.008760108,0.027628032,0.021563342,0.024932615,0.011455526,0.0020215632,0.0,0.025606468,0.010107817,0.008075370121130552,0.024932615,0.014824797,0.0074123987,0.014150944,0.00606469,,0.029649595,0.01684636,0.010781671,0.044474393
MH827525.1,0.024932615,0.009433962,0.009433962,0.020889487,0.012803234,0.010107817,0.0026954177,0.027628032,0.016172506,0.0067385444,0.018867925,0.03773585,0.4421265,0.027628032,0.03908356,0.014150944,0.015498652,0.004716981,0.01212938,0.0067385444,0.018867925,0.008760108,0.014824797,0.004716981,0.0067385444,0.01212938,0.0053908355,0.008760108,0.011455526,0.011455526,0.026954178,0.044474393,0.0053908355,0.013477089,0.015498652,0.01212938,0.01684636,0.016172506,0.0033692722,0.012803234,13.0,0.010781671,0.014824797,0.026280323,0.009433962,0.015498652,0.008086253,0.014150944,0.0074123987,0.010107817,0.027628032,0.020215634,0.02425876,0.01819407,0.0020215632,0.0,0.02425876,0.009433962,0.008748317631224764,0.02425876,0.01684636,0.0067385444,0.014150944,0.004716981,,0.027628032,0.021563342,0.009433962,0.044474393
MW512428.1,0.02425876,0.008760108,0.009433962,0.018867925,0.01212938,0.010781671,0.0020215632,0.028301887,0.014824797,0.008086253,0.017520215,0.03773585,0.4461642,0.027628032,0.038409702,0.015498652,0.014824797,0.0053908355,0.01212938,0.0067385444,0.020889487,0.010781671,0.015498652,0.0040431265,0.0074123987,0.013477089,0.004716981,0.009433962,0.01212938,0.012803234,0.027628032,0.04380054,0.00606469,0.012803234,0.01684636,0.011455526,0.015498652,0.01819407,0.004716981,0.011455526,10.0,0.010781671,0.016172506,0.025606468,0.008760108,0.015498652,0.008086253,0.014824797,0.0067385444,0.010107817,0.027628032,0.020889487,0.025606468,0.014150944,0.0026954177,0.0,0.023584906,0.009433962,0.006729475100942127,0.023584906,0.015498652,0.008086253,0.012803234,0.00606469,,0.026954178,0.020215634,0.008086253,0.04514825
MW512409.1,0.020889487,0.008760108,0.008760108,0.01954178,0.012803234,0.013477089,0.0040431265,0.026954178,0.018867925,0.010107817,0.01684636,0.037061993,0.44549125,0.026954178,0.038409702,0.014150944,0.014824797,0.00606469,0.01212938,0.008086253,0.017520215,0.009433962,0.01212938,0.00606469,0.0074123987,0.012803234,0.0053908355,0.010781671,0.010781671,0.011455526,0.026280323,0.04110512,0.0040431265,0.01212938,0.016172506,0.011455526,0.015498652,0.01684636,0.0040431265,0.012803234,14.0,0.008760108,0.016172506,0.027628032,0.010781671,0.016172506,0.010107817,0.017520215,0.008086253,0.01212938,0.028975742,0.01954178,0.022911051,0.016172506,0.0026954177,0.0,0.026954178,0.010107817,0.009421265141318977,0.023584906,0.014824797,0.0053908355,0.014824797,0.004716981,,0.025606468,0.021563342,0.008760108,0.043126684
MH827539.1,0.02425876,0.008086253,0.008086253,0.018867925,0.01212938,0.013477089,0.0020215632,0.028975742,0.015498652,0.010107817,0.01684636,0.03773585,0.44010767,0.026280323,0.038409702,0.015498652,0.014824797,0.0040431265,0.012803234,0.009433962,0.022237197,0.011455526,0.014150944,0.004716981,0.0074123987,0.012803234,0.0033692722,0.009433962,0.01212938,0.01212938,0.026954178,0.04514825,0.0053908355,0.012803234,0.016172506,0.011455526,0.013477089,0.01684636,0.004716981,0.012803234,12.0,0.009433962,0.01684636,0.025606468,0.008760108,0.014150944,0.009433962,0.014824797,0.0074123987,0.010781671,0.028301887,0.020889487,0.022911051,0.01212938,0.0026954177,0.0,0.02425876,0.011455526,0.008075370121130552,0.02425876,0.014824797,0.0067385444,0.01212938,0.00606469,,0.027628032,0.020215634,0.010781671,0.044474393
MW512451.1,0.018991966,0.008765522,0.010956903,0.022644266,0.0116873635,0.013148284,0.0021913806,0.027027028,0.012417823,0.0116873635,0.016800584,0.03944485,0.41722745,0.024835646,0.03871439,0.014609204,0.016800584,0.0051132212,0.012417823,0.006574142,0.016800584,0.012417823,0.013148284,0.0029218409,0.006574142,0.015339664,0.0058436817,0.009495983,0.016070124,0.008765522,0.03140979,0.041636232,0.006574142,0.014609204,0.013878743,0.0116873635,0.017531045,0.018261505,0.0029218409,0.013148284,11.0,0.010956903,0.010956903,0.027757486,0.007304602,0.018261505,0.0102264425,0.013148284,0.008765522,0.008765522,0.026296567,0.020452885,0.022644266,0.0116873635,0.0021913806,0.0,0.030679328,0.0102264425,0.007402422611036339,0.026296567,0.012417823,0.008035062,0.013878743,0.0058436817,,0.028487947,0.017531045,0.009495983,0.043827612
KC762680.1,0.022237197,0.009433962,0.010107817,0.01954178,0.011455526,0.010781671,0.0020215632,0.026954178,0.013477089,0.010107817,0.01684636,0.038409702,0.4502019,0.025606468,0.037061993,0.014824797,0.01954178,0.004716981,0.014150944,0.004716981,0.017520215,0.013477089,0.013477089,0.00606469,0.009433962,0.012803234,0.0053908355,0.011455526,0.01212938,0.014150944,0.026954178,0.04043127,0.0053908355,0.01212938,0.014824797,0.010781671,0.017520215,0.01684636,0.0040431265,0.013477089,11.0,0.011455526,0.013477089,0.028975742,0.009433962,0.015498652,0.010107817,0.014824797,0.008760108,0.010107817,0.026954178,0.021563342,0.02425876,0.012803234,0.0026954177,0.0,0.026954178,0.008760108,0.007402422611036339,0.023584906,0.016172506,0.0074123987,0.014150944,0.0074123987,,0.026954178,0.01954178,0.0074123987,0.04043127
KC762679.1,0.022237197,0.009433962,0.010107817,0.01954178,0.011455526,0.010781671,0.0020215632,0.026954178,0.013477089,0.010107817,0.01684636,0.038409702,0.4502019,0.025606468,0.037061993,0.014824797,0.01954178,0.004716981,0.014150944,0.004716981,0.017520215,0.013477089,0.013477089,0.00606469,0.009433962,0.012803234,0.0053908355,0.011455526,0.01212938,0.014150944,0.026954178,0.04043127,0.0053908355,0.01212938,0.014824797,0.010781671,0.017520215,0.01684636,0.0040431265,0.013477089,11.0,0.011455526,0.013477089,0.028975742,0.009433962,0.015498652,0.010107817,0.014824797,0.008760108,0.010107817,0.026954178,0.021563342,0.02425876,0.012803234,0.0026954177,0.0,0.026954178,0.008760108,0.007402422611036339,0.023584906,0.016172506,0.0074123987,0.014150944,0.0074123987,,0.026954178,0.01954178,0.0074123987,0.04043127
KC762678.1,0.020889487,0.009433962,0.009433962,0.022911051,0.012803234,0.011455526,0.0026954177,0.026280323,0.015498652,0.010107817,0.01684636,0.03908356,0.45087484,0.024932615,0.037061993,0.013477089,0.01684636,0.00606469,0.014824797,0.0074123987,0.01819407,0.01212938,0.013477089,0.0053908355,0.0067385444,0.014150944,0.00606469,0.010107817,0.014824797,0.011455526,0.026280323,0.041778974,0.0067385444,0.014150944,0.014150944,0.010781671,0.015498652,0.01819407,0.0040431265,0.014150944,11.0,0.010781671,0.014150944,0.028975742,0.008760108,0.016172506,0.01212938,0.014824797,0.008086253,0.010107817,0.026280323,0.022911051,0.021563342,0.013477089,0.0020215632,0.0,0.026954178,0.008760108,0.007402422611036339,0.022911051,0.014150944,0.0067385444,0.014150944,0.0074123987,,0.025606468,0.017520215,0.009433962,0.039757412
